main_file;&Ficheiro
main_help_bugs;Criar o relatório do &Bug ...
main_help_desc_bugs; Criar o relatório de erro tracker do projecto
main_help_forum;&Fórum de Usuário
main_help_desc_forum;Participar na comunidade iTrade sobre o seu Fórum (Francês-inglês)
main_help_donors;&Doar o Dinheiro…
main_help_desc_donors; Como doar o dinheiro para suportar este projecto
main_help_checksoftware;&Verificação das actualizações
main_help_desc_checksoftware;Verificação se uma nova versão de software está disponível

checksoftware_needupdate;O programa deve ser actualizado! Querem descarregar da nova versão?
checksoftware_uptodate;Tem a última versão oficial conhecida
checksoftware_title;Actualização do Programa
checksoftware_development;Tem uma versão em cursos de desenvolvimento
checksoftware_error;Impossível obter a informação de versão do programa (network issue ?)

main_about;&Sobre ...
main_desc_about; Informação sobre o iTrade

main_title_portfolio;iTrade - Conta %s: %s
main_title_quotes;iTrade - Matriz %s: %s
main_title_stops;iTrade - Stops %s: %s
main_title_indicators;iTrade - Indicadores %s: %s
main_title_evaluation;iTrade - Desempenho %s: %s
main_title_trading;iTrade - Trading %s:%s

main_refreshing;Actualizando os dados

main_popup_refreshall;Actualizar tudo
main_popup_buy;Comprar
main_popup_sell;Vender
main_popup_remove;Remover
main_popup_add;Adicionar ...
main_popup_view;Vista
main_popup_live;Live
main_popup_properties;Propriedades
main_popup_edit;Editar
main_popup_add_stops;Adicionar Stops ...
main_popup_edit_stops;Modificar Stops ...
main_popup_remove_stops;Suprimir Stops

main_valuation;Avaliação

html_connecting;Conectando ...
html_noconnect;Nenhuma conexão

ok;OK
ok_desc;Este botão valida e depois termina o diálogo
valid;Validar
valid_desc;Este botão valida e depois termina o diálogo
cancel;Cancelar
cancel_desc;O botão de cancelamento cancela o diálogo (Sim!)
close;Fechar
close_desc;O botão de fecho encerra o diálogo
yes;Sim
no;Não

isin;ISIN
ticker;Simbolo
quote;Cotações
variation;Var.
date;Data
time;em
name;Nome
volume;Volume
last;Último
open;Aberto
low;Baixo
high;Elevado
prev;Prev.
pivots;Pivôs
status;Status
reopen;Reabrir
high_threshold;Thres H
low_threshold;Thres L
cmp; WAQ
qty; Qty
perfday;Dia %
perfper;Perf %
profit;Lucro
sell;Vender
buy;Comprar
UPP;UPP
USP;USP
market;Mercado
place;Lugar
all_markets;Todos os mercados
invalid_isin;O código de ISIN %s é inválido
symbol_not_found;O Código de ISIN %s ou nome %s não encontrado
risk;Risco
stop_plus;Stop+
stop_minus;Stop-
clive;Live
cimport;Importar

download_symbols_onelist;Actualização da lista
download_symbols_onedesc;Actualizar a lista dos símbolos por download dos dados da rede
download_symbols_alllists;Actualizar todas as listas
download_symbols_alldesc;Actualizar todas as listas dos símbolos por download dos dados da rede
clear_symbols_onelist;Limpar a lista
clear_symbols_onedesc;Limpar todos os símbolos para esta lista
clear_symbols_alllists;Limpar todas as listas
clear_symbols_alldesc;Limpar todos os símbolos para todas as listas
listquote_clear_confirm_title;Operação irreversível
listquote_clear_confirm;Para %s, confirmar a operação (%s)?
listquote_new;Novo
listquote_edit;Editar
listquote_delete;Eliminar
listquote_new_desc;Criar um símbolo novo
listquote_edit_desc;Editar o símbolo actual na lista
listquote_delete_desc;Eliminar o símbolo actual na lista
listquote_duplicate_ref;O símbolo %s já existe!
listquote_save;Guardar
listquote_save_desc;Guardar a lista dos símbolos
listquote_saved;A lista dos símbolos foi guardada
listquote_dirty_save;Você quer guardar a modificação que você fez à lista dos símbolos?
listquote_nodirty_save;As suas modificações não foram guardadas e não persistirão na sessão actual

listquote_items_zero;Valor não encontrado
listquote_items_one;Só um valor encontrado
listquote_items_n;%s valores encontrados

listquote_modify_title;Editar o símbolo %s
listquote_new_title;Novo símbolo
listquote_delete_title;Eliminar o símbolo %s

quote_title;iTrade - Acção
quote_select_title;Seleccionar um símbolo
quote_list_title;Gestão dos símbolos

quote_select_isin; ISIN:
quote_select_ticker;Simbolo/nome:
quote_select_market;Mercado :
quote_select_list;Lista :
quote_select_alllist;Nenhum filtro
quote_select_syslist;Stocks
quote_select_usrlist;Utilizador editado
quote_select_indiceslist;Índices
quote_select_trackerslist;Trackers
quote_select_bondslist;Obrigações
quote_select_filterfield;Somente acções negociadas

quote_graphdaily; Diário
quote_live;Live
quote_graphweekly;Semanal
quote_news;Notícias
quote_analysis;Análises
quote_table;Tabela
quote_intraday;Jornada
quote_properties;Propriedades

alerts_title; iTrade - Notícias e alertas
alerts_alerts;Alertas
alerts_news;Notícias

money_title;iTrade - gerência de dinheiro

money_evaluation;Desempenho
money_compute;Cálculo
money_evaluationchart;Gráfico
money_money;Gerência de risco
main_view_alerts;&Notícias e alertas
main_view_desc_alerts; Notícias e alertas
main_view_currencies;&Moedas correntes
main_view_desc_currencies; Moedas correntes

portfolio_title;iTrade - transacção
portfolio_select_title;Selecionar uma conta
portfolio_delete_title;Eliminar uma conta
portfolio_properties_edit;Editar propriedades da conta
portfolio_properties_create;Criar uma nova conta
portfolio_properties_delete;Eliminar a conta
portfolio_properties_rename;Renomear a conta

portfolio_delete_confirm;Você quer realmente a eliminação da conta “%s”?
portfolio_delete_confirm_title;Eliminar a conta
portfolio_exist_info;O ficheiro de referência à conta “%s” já existe!
portfolio_exist_info_title;Criar uma conta
portfolio_rename_confirm;Você confirma a nova referência “%s”?
portfolio_rename_confirm_title;Renomear a conta

portfolio_properties_btncreate;Criar
portfolio_properties_btncreatedesc;Criar uma conta nova
portfolio_properties_btndelete;Eliminar
portfolio_properties_btndeletedesc;Eliminar esta conta (irreversível)
portfolio_properties_btnedit;Modificar
portfolio_properties_btneditdesc;Validar as propriedades novas desta conta
portfolio_properties_btnrename;Renomear
portfolio_properties_btnrenamedesc;Renomear o nome desta conta
portfolio_properties_btnselect;Abrir
portfolio_properties_btnselectdesc;Abrir esta conta

portfolio_filename;Referência :
portfolio_name;Descrição :
portfolio_accountref;Número da conta :
portfolio_market;Mercado principal :
portfolio_select_textfield;Referência :
portfolio_currency;Moeda corrente :
portfolio_indicator;Indicador principal :
portfolio_vat;IVA (in %) :
portfolio_list_filename;Referência
portfolio_list_name;Descrição
portfolio_list_accountref;Número da conta

portfolio_modify;Modificar
portfolio_new;Novo
portfolio_delete;Eliminar
portfolio_date;Data da transacção:
portfolio_time;Tempo da transacção :
portfolio_operation;Transacção :
portfolio_description;Descrição :
portfolio_quote;Acções :
portfolio_pre_expenses1;incl.
portfolio_pre_expenses2;e
portfolio_post_expenses; das despesas
portfolio_quantity;Quantidade :

portfolio_field_credit;Crédito :
portfolio_field_debit;Débito :
portfolio_field_freeofcharges;Livre de despesas
portfolio_field_valorization;Valorização :

portfolio_ctrl_sell;Vender
portfolio_ctrl_sell_srd;Vender SRD
portfolio_ctrl_buy;Comprar
portfolio_ctrl_buy_srd;Comprar SRD
portfolio_ctrl_debit;Levantamento
portfolio_ctrl_credit;Depósito
portfolio_ctrl_fee;Taxa
portfolio_ctrl_interest;Interessses
portfolio_ctrl_detachment;Destacamento (non taxable)
portfolio_ctrl_dividend;Dividendo (taxable)
portfolio_ctrl_liquidation;Liquidação SRD
portfolio_ctrl_quote;Dividendo com partes
portfolio_ctrl_register;Registo público

portfolio_list_date;Data e Hora
portfolio_list_operation;transacção
portfolio_list_description;Descrição
portfolio_list_number; Quantidade
portfolio_list_debit;  Débito
portfolio_list_credit; Crédito
portfolio_list_expense; Despesas
portfolio_list_balance; Balanço
portfolio_list_srd;    SRD

Portfolio_sell;Vender
Portfolio_sell_srd;Vender SRD
Portfolio_buy;Comprar
Portfolio_buy_srd;comprar SRD
Portfolio_credit;depósito
Portfolio_debit;levantamento
Portfolio_fee;taxa
Portfolio_interest;interesses
Portfolio_split;split
Portfolio_detachment;destacamento
Portfolio_dividend;dividendo
Portfolio_liquidation;liquidação
Portfolio_quote;dividendo nas partes
Portfolio_register;Registo público

portfolio_dispall;&Todos
portfolio_desc_dispall; Visualizar a lista de todas as transacções
portfolio_dispquotes;&Cotações
portfolio_desc_dispquotes; Visualizar a lista de transacções relacionadas com as acções
portfolio_dispcash;&Dinheiro
portfolio_desc_dispcash; Visualizar a lista de transacções relacionadas com o dinheiro
portfolio_dispvalues;&Valores
portfolio_desc_dispvalues; Visualizar a lista de transacções relacionadas com os +/- valores
portfolio_dispsrd;&SRD
portfolio_desc_dispsrd; Visualizar a lista de transacções relacionadas com SRD

portfolio_opadd;&Adicionar ...
portfolio_desc_opadd; Adicionar uma transacção nova
portfolio_opdelete;&Eliminar
portfolio_desc_opdelete; Eliminar a transacção actual
portfolio_opmodify;&Modificar
portfolio_desc_opmodify; Modificar a transacção actual

portfolio_text;Zoom do texto
portfolio_desc_text; Seleccionar zoom de texto para visualizar as transacções
portfolio_view_small;Mais pequeno
portfolio_view_desc_small; Usar o tamanho pequeno de texto para visualizar as transacções
portfolio_view_normal;Normal
portfolio_view_desc_normal; Usar o tamanho normal de texto para visualizar as transacções
portfolio_view_big;Maior
portfolio_view_desc_big; Usar o tamanho grande de texto para visualizar as transacções

portfolio_per30days;&30 dias
portfolio_desc_per30days; Visualizar os últimos 30 dias
portfolio_per90days;&90 dias
portfolio_desc_per90days; Visualizar os últimos 90 dias
portfolio_peryear;&Ano
portfolio_desc_peryear; Visualizar o presente ano
portfolio_perall;&Todos
portfolio_desc_perall; Visualizar todas as transacções desde o começo

portfolio_menu_file;&Ficheiro
portfolio_menu_disp;&Visualizar
portfolio_menu_op;&Transações
portfolio_menu_per;&Filtro

graph_price;Preço
graph_volume;Volume
graph_period;Período:
graph_days;dias

backtolist;Retroceder para a lista

popup_open;Aberto
popup_high;Elevado
popup_low;Baixo
popup_close;Último
popup_percent;Var. (%s)
popup_volume;Volume
popup_notrade;nenhum comércio

save_to_file;Guardar para o ficheiro
export_to_file;Exportar para o ficheiro
import_from_file;Importar do ficheiro
exported_to_file;O ficheiro %s foi exportado
imported_from_file;O ficheiro %s foi importado

tb_pan_left;Bandeja à esquerda
tb_pan_right;Bandeja à direita
tb_save_file;Guardar o gráfico no ficheiro
tb_config;Configuração do gráfico
tb_home;Restaurar a posição original
tb_zoom_out;Aumentar o período
tb_zoom_in;Diminuir o período
tb_setup;Configuar página...
tb_print;Imprimir...
tb_preview;Visualizar impressão

tb_tool_ind;Afixação dos Popups
tb_tool_hline;Desenhar uma linha Horizontal
tb_tool_vline;Desenhar uma linha Vertical
tb_tool_oline;Desenhar uma linha Oblíqua
tb_tool_trash;Suprimir um objecto
tb_tool_fibo;Desenhar um objecto Fibonacci
tb_tool_text;Escrever um Texto
tb_tool_prop;Propriedades do objeto

quote_popup_dispMA150;Média movimentada 150 dias
quote_popup_dispSto;Estocástico
quote_popup_dispRSI14;RSI 14 dias
quote_popup_dispBollinger;Faixas de Bollinger
quote_popup_dispOverlaidVolume;Volumes de Overlaid
quote_popup_dispLegend;Legenda
quote_popup_dispGrid;Grade
quote_popup_dispChart1Candlestick;Candlesticks
quote_popup_dispChart1OHLC; Barras de OHLC
quote_popup_dispChart1Line; Linhas

prop_reference;Referência
prop_marketandconnector;Mercado e conector
prop_tradingstyle;Informação de negócio
prop_ref;Referência :
prop_isin;ISIN :
prop_name;Nome :
prop_ticker;Simbolo :
prop_reload;Recarregar
prop_desc_reload;Recarregar todos os dados
prop_rename;Renomear
prop_desc_rename;Renomear o Simbolo desta acção
prop_import;Importar
prop_desc_importe;Importação dos dados da acção
prop_export;Exportação
prop_desc_exporte;Exportação dos dados da acção
prop_restore;Reiniciar
prop_desc_restore;Restaurar os valores de origem
prop_market;Troca :
prop_country;País :
prop_place;Lugar :
prop_currency;Moeda corrente :
prop_typeofclock;Atraso :
prop_islive;Tempo real
prop_isslive;Live
prop_isdiffered;Diferido
prop_isnotlive;Tempo diferido (%d minuts)
prop_liveconnector;Conector Live :
prop_impconnector;Conector da importação:
prop_set;Validar
prop_desc_set;Validar a informação do mercado novo e do conector
prop_term;Período de investimento (no mês) :
prop_risk;Nível de risco (em %):
prop_connhelp;Pensar a efectuar uma regeneração de modo que a modificação seja efectiva

live_busy;Aguarde um momento por favor, a conexão live está a encerrar…
live_notebook;Bloco de notas
live_lasttrades;Últimas transacções
live_hours;Horas
live_qty;Qty
live_price;Preço
live_buy;Compra
live_sell;Vende
live_number;Nb
live_CMP;PMP
live_FMP;PMR

wxversion_title;Erro da versão do wxPython
wxversion_msg;A versão requerida do wxPython não está instalada. Instalar por favor a versão %d%d UNICODE

money_fiscal_year;Ano fiscal
money_amount_of_taxes;Quantidade de impostos
money_taxable_amounts;Quantidades Taxáveis
money_financial_appreciation;Apreciação financeira
money_total_of_transfers;Total de transferências
money_expenses_vat;Despesas (Corretagem, IVA, ...)
money_portfolio;Conta
money_description;Descrição
money_account_number;Número de conta
money_percent_of_portfolio;% da conta
money_quote;Cotações
money_srd;SRD
money_cash;Dinheiro
money_initial_investment;Investimento inicial
money_value;Valor
money_performance;Desempenho
money_investment_evaluation;Avaliação

currencies_title;Moedas correntes
currency_menu_file;&Ficheiro
currency_menu_view;&Vista

currency_to;A
currency_from;Converter
currency_rate;Taxa
currency_refreshing;Actualizar os dados actuais

cache_erase_confirm_title; Apagar dados do "cache"
cache_erase_confirm_data; Apagar todos os dados históricos do "cache" ?(os dados serão regenerados)
cache_erase_confirm_news; Apagar toda a notícia do "cache" ? (os dados serão regenerados)
cache_erase_confirm_all; Apagar todos os dados (historiais, notícia...) do "cache"? (os dados serão regenerados)

indicator_autorefresh;Regeneração automática
indicator_noautorefresh;Regeneração manual
indicator_disconnected;Desconectado

login_title;Acesso Cliente
login_fortuneo_desc;Entrar o vosso identificador Fortuneo (conta real ou da demonstração)
login_boursorama_desc;Entrar o vosso identificador Boursorama (conta cliente ou pseudónimo)
login_set; Validar
login_setdesc;Validar as informações de acesso apreendidas
login_username;Identificador :
login_password;Senha :
login_test;Testar
login_testdesc; Tentar o acesso ao serviço com as informações fornecidas
login_test_ok;O acesso ao serviço funciona com estas informações
login_test_nok;O acesso ao serviço não funciona com estas informações

page_portfolio;Conta
page_quotes;Matriz
page_stops;Stops
page_indicators;Indicadores
page_evaluation;Desempenho
page_trading;Trading

print_preview;Visualizar impressão
print_printing;Imprimir...
print_errprinting;Erro de impressão. Verificar a configuração corrente
print_page;Página: %d

about_url;Lançar o navegador para a ligação: %s
about_title;Sobre o iTrade

info_caption;iTrade - Informação
alert_caption;iTrade - Erro

stops_remove_caption;Suprimir os stops
stops_remove_text;Suprimir realmente os stops da acção %s ?
stops_edit_caption;%s - Alterar os Stops
stops_add_caption;%s - Criar os Stops
stops_last;Última cotação :
stops_portfolio;%s acções em conta para um valor de %s
stops_shares_loss;Ponto inicial de venda para cortar as perdas :
stops_shares_win;Ponto inicial de venda para tomar os lucros :
stops_noshares_loss;Escala de compra - Ponto inicial baixo :
stops_noshares_win;Escala de compra - Ponto inicial elevado :
stops_add;Adicionar
stops_edit;Modificar
stops_add_desc;Adicionar as informações de Stops
stops_edit_desc;Modificar as informações de Stops

decision_positiononquote_cash;Cash Position
decision_positiononquote_credit;Marging Position
decision_purchasingpower;Poder de Compra
decision_numofshares;Quantidade de Acções :
decision_upp;Preço de custo unitário :
decision_pp;Preço de custo total :
decision_profit;Latent Profit in %s :
decision_profitpercent;Latent Profit in % :
decision_availablecash;Available Cash in %s :
decision_committedcredit;Committed Margin in %s :
decision_availablecredit;Available for Margin in %s :

connection_title;Parâmetros de Conexão
proxy_server_ip;__xProxy IP address (esvazie se nenhum) :
proxy_server_port;__xProxy Port (esvazie se nenhum) :
proxy_auth_user;__xProxy User Authentication (esvazie se nenhum) :
proxy_auth_pwd;__xProxy Password Authentication (esvazie se nenhum) :
connection_timeout;Atraso antes do erro (em segundos, typ. 25) :

rss_clear;Apagar
rss_scan;Scan
rss_freshness;Último scan:

remove_quote_title;Apagar a Cotação
remove_quote_info;Suprimir realmente a acção %s ?

converter_title;Conversão de Divisas

test;Mensagem de teste
